,JURISDICTION_NAME,PERCENT_PACIFIC_ISLANDER,PERCENT_HISPANIC_LATINO,PERCENT_AMERICAN_INDIAN,PERCENT_ASIAN_NON_HISPANIC,PERCENT_WHITE_NON_HISPANIC,PERCENT_BLACK_NON_HISPANIC,PERCENT_OTHER_ETHNICITY
0,10001,0.0,0.36,0.0,0.07,0.02,0.48,0.07
1,10002,0.0,0.03,0.0,0.8,0.17,0.0,0.0
2,10003,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,10004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10005,0.0,0.0,0.0,0.5,0.0,0.5,0.0
5,10006,0.0,0.33,0.0,0.0,0.17,0.5,0.0
6,10007,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,10009,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,10010,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10011,0.0,0.33,0.0,0.0,0.0,0.33,0.33
10,10012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,10013,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,10014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,10016,0.0,0.53,0.0,0.0,0.0,0.47,0.0
14,10017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,10018,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16,10019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,10020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,10021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,10022,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20,10023,0.0,0.43,0.0,0.14,0.0,0.43,0.0
21,10024,0.0,0.0,0.0,0.0,0.75,0.0,0.0
22,10025,0.0,0.56,0.0,0.0,0.0,0.41,0.04
23,10026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,10027,0.0,0.14,0.0,0.14,0.0,0.57,0.14
25,10028,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,10029,0.0,0.2,0.0,0.0,0.0,0.75,0.05
27,10030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,10031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,10032,0.0,0.69,0.0,0.08,0.0,0.15,0.08
30,10033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,10034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,10035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,10036,0.0,0.0,0.0,0.5,0.0,0.5,0.0
34,10037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,10038,0.0,0.13,0.0,0.56,0.0,0.31,0.0
36,10039,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,10040,0.0,0.6,0.0,0.2,0.0,0.2,0.0
38,10044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,10045,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,10065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,10115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,10119,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,10128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,10154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,10278,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,10280,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,10301,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,10302,0.0,0.0,0.0,0.0,0.0,0.0,0.0
